,comic_name,issue_description
0,A Year of Marvels: April Infinite Comic (2016),"The Infinite Comic that will have everyone talking! Full of fun, heart, and pranks, this is one folks'll be talking about for years!"
1,A Year of Marvels: August Infinite Comic (2016),"It’s August, and Nick Fury is just in time to attend Japan’s Bon Festival…but he’s not here to celebrate. Not when an illegal weapons auction is about to begin! From Chad Bowers & Chris Sims (X-MEN ’92) and Brian Level!"
2,A Year of Marvels: February Infinite Comic (2016),"Join us in a brand new Marvel comics adventure as your favorite heroes journey through the calendar year one month at a time! It’s February and Peter Parker’s got a hot date, but the old Parker luck hits hard…and so does the bank-robbing villain The Vulture! It’s a tale of romance, adventure, and punching!"
3,A Year of Marvels: July Infinite Comic (2016),"Celebrating the Fourth of July is complicated enough for a patriotic symbol turned soviet assassin, but then Hydra agents had to go and rob the Winter Soldier’s secret storage locker. Who sent them? What do they want? Bucky doesn’t care — he just wants his #$%& back."
4,A Year of Marvels: June Infinite Comic (2016),"Sam Alexander’s finding it hard to cope with the fact that his dad is M.I.A. in the far reaches of space. Luckily, this Father’s Day, Nova’s got the chance to help former New Warrior Midnight’s Fire put his family back together. But when Iron Man shows up to inform his young teammate he’s backing the wrong horse, will Nova cool his jets?"
5,A Year of Marvels: March Infinite Comic (2016),"When business is down in March, Scott Lang’s Ant-Man Security Solutions will take just about any job offered to them- including stealing back stolen goods! But all is not as it seems! Join writer Amy Chu and artist Ryan Browne as they team together for this Spring Break themed heist!"
6,A Year of Marvels: May Infinite Comic (2016),Presenting: A Mother’s Day story to curdle to blood! Meet the sinister Wendigo Sisters! Will the combined might of She-Hulk and Wolverine be enough to stop them from murdering their OWN MOTHER? Could there be more to this story than we’re telling you? Probably! Read and find out!
7,A Year of Marvels: November Infinite Comic (2016),"It’s time to give thanks for…THE PUNISHER?! When an op goes south, Frank Castle finds himself in a subterranean game of cat and mouse! It’s a life or death tale that’ll satisfy more than any turkey dinner!"
8,A Year of Marvels: October Infinite Comic (2016),"It’s Halloween in the Marvel U! What does that mean for KATE BISHOP, A.K.A. HAWKEYE? Well, I can’t tell you here but I CAN guarantee it involves a haunted house, some witty one-liners, and a bad guy shot full of arrows…"
9,A Year of Marvels: September Infinite Comic (2016),"In September, TIPPY-TOE is flying SOLO (until Squirrel Girl is done studying)! But when a villain threatens Central Park, she’s gotta call in the big guns. Enormous guns, relatively speaking (because Tippy and ROCKET RACCOON are small)! It’s the team-up — written by Nilah Magruder — you would have demanded if you knew your worth! You’re wonderful, and you deserve beautiful things!"
